brand,engine_type,gearbox,mileage,model,price,url,year
opel,,manuelle,112500,,1290,"/Voiture/Opel-OPEL-VECTRA-C-112-TKM-SCHECKHEFT-1.HAND/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525456.html",2002
audi,,automatique,34900,tt,52980,"/Voiture/Audi-TT-RS-Coup%C3%A9-S-tronic-MATRIX-NAV-R-KAM/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525455.html",2019
audi,,automatique,31500,tt,74980,"/Voiture/Audi-RS-5-Coup%C3%A9-tiptronic-280-km-h-KERAMIK/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525454.html",2021
volkswagen,,manuelle,203334,polo,500,"/Voiture/Volkswagen-VW-Polo-6n2/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525453.html",2001
ford,,manuelle,86000,polo,2999,"/Voiture/Ford-Ford-Fusion-1.6-wenig-KM/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525452.html",2006
audi,,automatique,18800,polo,32890,"/Voiture/Audi-Q4-35-e-tron-LED/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525451.html",2022
audi,,automatique,62800,a4,30980,"/Voiture/Audi-A4-Avant-advanced-40-TFSI-quattro-S/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525450.html",2020
mercedes,,automatique,126000,a4,21500,"/Voiture/Mercedes-Benz-Mercedes-CLA/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525449.html",2019
volkswagen,,manuelle,230000,golf,4400,"/Voiture/Volkswagen-Golf-VI-Trendline-NAVI-2xPDC/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525448.html",2009
volkswagen,,automatique,19500,t-cross,25750,"/Voiture/Volkswagen-T-Cross-Style,-VW,-Schwarz-150-PS/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/384525447.html",2023
mercedes,,manuelle,250000,,5000,"/Voiture/Mercedes-Benz-Mercedes-E220-Facelift/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525446.html",2008
mercedes,,manuelle,125774,,1950,"/Voiture/Dacia-Dacia-Sandero-1.4-MPI/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525445.html",2009
peugeot,,manuelle,162791,,3350,"/Voiture/Peugeot-Peugeot-207-cc/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525444.html",2008
renault,,manuelle,157000,clio,1200,"/Voiture/Renault-Renault-Clio/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525443.html",2004
renault,,automatique,95000,clio,6990,"/Voiture/Smart-Smart-451-Coup%C3%A9-Klima-Servo-Pano-Shz/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525442.html",2013
opel,,manuelle,199500,astra,1900,"/Voiture/Opel-Opel-Astra-Combi/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525441.html",2003
bmw,,automatique,157000,astra,10000,"/Voiture/BMW-BMW-318i-E90/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525440.html",2010
toyota,,automatique,26170,yaris,15500,"/Voiture/Toyota-Toyota-Yaris-Hybrid-1,5-I-VVT-iHybrid/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525439.html",2017
volkswagen,,manuelle,256200,passat,3349,"/Voiture/Volkswagen-VW-Passat-2.0-TDI-%C3%96lservice-Neu/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525436.html",2008
volkswagen,,manuelle,269000,touran,2850,"/Voiture/Volkswagen-Wv-Touran-1,9-diesel-TUV-03-2025/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384525435.html",2004
,,manuelle,26120,,16900,"/Voiture/Hyundai-Hyundai-Kona/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525411.html",2019
,,automatique,178000,,17500,"/Voiture/Mercedes-Benz-E220-Avantgarde-Sportpacket/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525410.html",2013
,,automatique,181000,,15000,"/Voiture/Mercedes-Benz-C-220-d/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525406.html",2017
,,automatique,39800,,14250,"/Voiture/Skoda-Skoda-Citigo-e-iV-CCS-Garantie-PDC/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525405.html",2020
audi,,automatique,59000,a1,13990,"/Voiture/Audi-A1-Sportback-Ultra-design-Automatik./vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525404.html",2016
bmw,,automatique,12733,x3,37999,"/Voiture/BMW-BMW-X3-M-Paket-x-Drive-Black-Sapphire/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525403.html",2021
bmw,,manuelle,120000,x3,9000,"/Voiture/Mercedes-Benz-MB,-C-180-Kompressor/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525402.html",2008
opel,,automatique,167000,x3,3999,"/Voiture/Opel-Vectra-A-CC-CD-2.0-C20NE-H-Zulassung/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525401.html",1991
bmw,,automatique,254000,x3,12900,"/Voiture/BMW-BMW-530d-X-Drive-Touring/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525400.html",2013
peugeot,,manuelle,166500,x3,1800,"/Voiture/Peugeot-Peugeot-107-Sparsam-und-super-Wagen/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384525399.html",2011
volkswagen,,manuelle,277156,golf,1349,"/Voiture/Volkswagen-VW-Golf-IV-1.4-Benzin,-EZ-06-2003,/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525398.html",2003
ford,,automatique,85000,kuga,18950,"/Voiture/Ford-Kuga-1,5,-8fach,-4x4-134kW-ST-Line/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525397.html",2018
volkswagen,,manuelle,216000,golf,4300,"/Voiture/Volkswagen-Golf-5-1.9-TDI-Goal/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525395.html",2005
fiat,,manuelle,119500,golf,1500,"/Voiture/Fiat-Fiat-Stilo-1.8-16v-133ps-Rostfrei/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525394.html",2002
opel,,manuelle,148133,astra,2300,"/Voiture/Opel-OPEL-ASTRA-F-Caravan-T92-1.4-i-F35,-M35/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525393.html",1993
opel,,manuelle,152000,berlingo,4500,"/Voiture/Citro%C3%ABn-Citr%C3%B6en-Berlingo-Kastenwagen/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525392.html",2010
opel,,automatique,250000,berlingo,2550,"/Voiture/Volvo-Volvo-V50-Motorschaden/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525391.html",2011
volkswagen,,manuelle,260000,passat,6500,"/Voiture/Volkswagen-VW-Passat-1.9/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525390.html",2009
volkswagen,,automatique,24000,passat,25390,"/Voiture/Nissan-Qashqai-N-TEC-1.3-AT-Navi-LED-AHK-R/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525389.html",2020
bmw,,automatique,190000,passat,5000,"/Voiture/BMW-BMW-318Ti-140Ps-Bombe-Zustand-Bj1997/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525388.html",1997
audi,,automatique,262000,q7,6650,"/Voiture/Audi-Audi-Q7-3.0-TDI-Sportpacket-Xenon-Kamera/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525421.html",2007
ford,,manuelle,185353,q7,1200,"/Voiture/Ford-Ford-Fusion-1,4-TDCI/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525420.html",2004
mercedes,,manuelle,336000,q7,1600,"/Voiture/Mercedes-Benz-Mercedes-Benz-C-180-Kompressor/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525419.html",2004
mercedes,,automatique,116000,q7,29990,"/Voiture/Autres-Range-Rover-Sport-HSE/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525418.html",2015
audi,,automatique,42000,a3,24800,"/Voiture/Audi-Audi-A3-8V-Limousine/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525417.html",2018
