brand,engine_type,gearbox,mileage,model,price,url,year
opel,essence,manuelle,63533,mokka,15880,"/Voiture/Opel-Mokka-X-1,4-Innovation-LED-KAMERA/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/379313535.html",2019
audi,diesel,manuelle,392429,a4,4400,"/Voiture/Audi-A4-3.0-TDI-Quattro-Schaltgtr.-Navi-T%C3%9CV/vhc:car,pgn:1,pgs:10,dmg:false/pg:vipcar/366978806.html",2006
,essence,manuelle,39600,,19500,"/Voiture/Seat-SEAT-Arona-2017-Arona-2017-Arona-1.0/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384529213.html",2021
toyota,essence,manuelle,68032,aygo,13900,"/Voiture/Toyota-TOYOTA-Aygo-II-Aygo-5p-1.0-x-business/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384529212.html",2020
,diesel,manuelle,68902,berlingo,8550,"/Voiture/Citro%C3%ABn-Berlingo-Diesel-Kastenwagen-mit-LKW/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384529247.html",2012
toyota,essence,manuelle,38235,corolla,7000,"/Voiture/Toyota-Toyota-Corolla-1.6-Sol/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529204.html",2004
bmw,diesel,automatique,169900,,13950,"/Voiture/BMW-Bmw-320d-f30/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529238.html",2014
,hybride,automatique,80200,,24880,"/Voiture/Mercedes-Benz-C-300-de-T-AVANTGARDE-DISTRONIC/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/371745949.html",2020
bmw,diesel,automatique,85000,x4,43970,"/Voiture/BMW-X4-xDrive30d-M-Sport-DrAssPlu-LivCockPr/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/381622487.html",2020
volkswagen,essence,manuelle,129000,golf,3999,"/Voiture/Volkswagen-Golf-Plus-V-T%C3%9CV-NEU-AHK-KLIMA-8/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529287.html",2005
bmw,diesel,manuelle,406000,,7000,"/Voiture/BMW-BMW-F30-316d/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529274.html",2013
,hybride,automatique,5258,,84900,"/Voiture/Autres-MASERATI-Grecale-Grecale-2.0-mhev/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529225.html",2023
opel,essence,manuelle,26544,grandland,21870,"/Voiture/Opel-Grandland-X-1.2-Opel-2020-LED-NAVI/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/377863483.html",2020
