brand,engine_type,gearbox,mileage,model,price,url,year
Passat,Hybride,Automatique,67931,Variant,26233,https://hollyroad.fr/annonce-volkswagen-passat-variant-D61khU,2020
Tiguan,Essence,Automatique,20405,1.5,35246,https://hollyroad.fr/annonce-volkswagen-tiguan-x1PyEG,2023
Passat,Diesel,Automatique,100000,Variant,23763,https://hollyroad.fr/annonce-volkswagen-passat-variant-aXJ5SG,2020
Passat,Diesel,Automatique,133568,Variant,21943,https://hollyroad.fr/annonce-volkswagen-passat-variant-wBoQZn,2019
Arteon,Diesel,Automatique,24908,Shooting,43723,https://hollyroad.fr/annonce-volkswagen-arteon-GzrR8r,2023
T-Cross,Essence,Manuelle,8924,1.0,25127,https://hollyroad.fr/annonce-volkswagen-t-cross-m08H99,2022
Polo,Essence,Manuelle,38902,1.0,17683,https://hollyroad.fr/annonce-volkswagen-polo-gzROZL,2020
Golf,Essence,Manuelle,26699,8,29668,https://hollyroad.fr/annonce-volkswagen-golf-zEpd8p,2023
Tiguan,Essence,Automatique,24051,1.5,35523,https://hollyroad.fr/annonce-volkswagen-tiguan-RitfOo,2023
Golf,Essence,Manuelle,14194,8,29923,https://hollyroad.fr/annonce-volkswagen-golf-RjC93D,2023
Tiguan,Essence,Automatique,17710,1.5,35623,https://hollyroad.fr/annonce-volkswagen-tiguan-dUMWaG,2023
Polo,Essence,Manuelle,52995,1.0,17008,https://hollyroad.fr/annonce-volkswagen-polo-skCD4s,2019
T-Cross,Essence,Automatique,10441,1.0,29482,https://hollyroad.fr/annonce-volkswagen-t-cross-4W17b3,2022
Golf,Essence,Automatique,17374,8,32523,https://hollyroad.fr/annonce-volkswagen-golf-xaC6IC,2022
Ateca,Diesel,Automatique,6841,2.0,28763,https://hollyroad.fr/annonce-seat-ateca-ppK0eD,2022
Tarraco,Diesel,Automatique,103260,2.0,30666,https://hollyroad.fr/annonce-seat-tarraco-yYpr9K,2019
Polo,Essence,Automatique,14421,1.0,25205,https://hollyroad.fr/annonce-volkswagen-polo-cFxqXN,2023
Tiguan,Essence,Automatique,18143,1.5,35523,https://hollyroad.fr/annonce-volkswagen-tiguan-uMxHyw,2023
e-up!,Électrique,Automatique,19493,move,18919,https://hollyroad.fr/annonce-volkswagen-up-SdWqgf,2021
Passat,Diesel,Automatique,25293,Variant,42523,https://hollyroad.fr/annonce-volkswagen-passat-variant-75MHGY,2023
Tiguan,Essence,Manuelle,17445,1.5,30923,https://hollyroad.fr/annonce-volkswagen-tiguan-6dGdvS,2023
KAMIQ,Essence,Manuelle,0,TOUR,34086,https://hollyroad.fr/annonce-skoda-kamiq-VHsqgY,2024
Kamiq,Diesel,Manuelle,26480,1.6,26722,https://hollyroad.fr/annonce-skoda-kamiq-JBvN83,2020
Tiguan,Essence,Manuelle,27069,1.5,30668,https://hollyroad.fr/annonce-volkswagen-tiguan-nqYSpk,2023
KAMIQ,Essence,Manuelle,0,TOUR,34086,https://hollyroad.fr/annonce-skoda-kamiq-VHsqgY,2024
Kamiq,Essence,Automatique,20898,1.5,25763,https://hollyroad.fr/annonce-skoda-kamiq-hwMXW1,2020
Golf,Essence,Manuelle,24734,8,29668,https://hollyroad.fr/annonce-volkswagen-golf-jEh2Vm,2023
Tiguan,Essence,Manuelle,28797,1.5,30668,https://hollyroad.fr/annonce-volkswagen-tiguan-sKWJmy,2023
Tiguan,Essence,Manuelle,25330,1.5,26713,https://hollyroad.fr/annonce-volkswagen-tiguan-FPPz2y,2023
Tiguan,Essence,Manuelle,24626,1.5,30668,https://hollyroad.fr/annonce-volkswagen-tiguan-IYVpTO,2023
Touran,Essence,Manuelle,24818,1.5,33523,https://hollyroad.fr/annonce-volkswagen-touran-EVsG2X,2022
Tiguan,Essence,Automatique,8422,1.5,34523,https://hollyroad.fr/annonce-volkswagen-tiguan-ZUk17K,2022
Golf,Essence,Manuelle,20000,8,26627,https://hollyroad.fr/annonce-volkswagen-golf-wC95Tp,2023
Kamiq,Diesel,Manuelle,26480,1.6,26722,https://hollyroad.fr/annonce-skoda-kamiq-JBvN83,2020
Tiguan,Essence,Manuelle,17445,1.5,30923,https://hollyroad.fr/annonce-volkswagen-tiguan-6dGdvS,2023
Superb,Diesel,Automatique,80631,Combi,25908,https://hollyroad.fr/annonce-skoda-superb-JcqUMd,2020
Golf,Diesel,Manuelle,15920,8,33523,https://hollyroad.fr/annonce-volkswagen-golf-YKCUyX,2022
Passat,Diesel,Automatique,25293,Variant,42523,https://hollyroad.fr/annonce-volkswagen-passat-variant-75MHGY,2023
Golf,Diesel,Automatique,107556,8,23722,https://hollyroad.fr/annonce-volkswagen-golf-3Xz94n,2021
Kamiq,Essence,Manuelle,42842,1.0,19922,https://hollyroad.fr/annonce-skoda-kamiq-C344H2,2020
Kamiq,Diesel,Automatique,56394,1.6,25867,https://hollyroad.fr/annonce-skoda-kamiq-WAJs7Z,2020
e-up!,Électrique,Automatique,19493,move,18919,https://hollyroad.fr/annonce-volkswagen-up-SdWqgf,2021
Octavia,Diesel,Automatique,95289,Combi,21943,https://hollyroad.fr/annonce-skoda-octavia-x1CVkD,2019
Passat,Diesel,Automatique,58491,Variant,31763,https://hollyroad.fr/annonce-volkswagen-passat-variant-28JPRq,2021
"Polo1,0",Essence,Manuelle,14020,l,18902,https://hollyroad.fr/annonce-volkswagen-polo-7qcWIt,2019
up!,Essence,Manuelle,64250,1.0,11863,https://hollyroad.fr/annonce-volkswagen-up-HC6n3r,2019
Octavia,Diesel,Automatique,100731,Combi,20102,https://hollyroad.fr/annonce-skoda-octavia-ZdMJOp,2019
T-Roc,Essence,Manuelle,28626,Cabriolet,31543,https://hollyroad.fr/annonce-volkswagen-t-roc-cabriolet-gh1peL,2021
Volkswagen,Hybride,Automatique,82600,Golf,24972,https://hollyroad.fr/annonce-volkswagen-golf-W7Q1Mp,2020
Mercedes-Benz,Hybride (électrique/diesel),Automatique,10000,E,83952,https://hollyroad.fr/annonce-mercedes-benz-e-300-E7U4Gx,2024
Volkswagen,Diesel,Automatique,93534,Tiguan,27906,https://hollyroad.fr/annonce-volkswagen-tiguan-i95wHG,2019
Skoda,Diesel,Automatique,24958,Superb,40770,https://hollyroad.fr/annonce-skoda-superb-qagFCB,2022
Fiat,Essence,Manuelle,6337,500,16665,https://hollyroad.fr/annonce-fiat-500-RoNiWf,2022
Fiat,Essence,Manuelle,13317,500,19324,https://hollyroad.fr/annonce-fiat-500-qtRhl8,2022
Fiat,Essence,Manuelle,8182,500,16665,https://hollyroad.fr/annonce-fiat-500-JS5hTj,2022
Fiat,Essence,Manuelle,7363,500,19324,https://hollyroad.fr/annonce-fiat-500-ZIQ5oT,2022
Audi,Essence,Automatique,60200,Q2,30156,https://hollyroad.fr/annonce-audi-q2-zkP3cJ,2019
Opel,Essence,Manuelle,44342,Mokka,18115,https://hollyroad.fr/annonce-opel-mokka-x-RUyvrA,2019
Opel,Diesel,Manuelle,120850,Insignia,19395,https://hollyroad.fr/annonce-opel-insignia-hFIHqa,2020
Volkswagen,Essence,Automatique,69803,T-Roc,26156,https://hollyroad.fr/annonce-volkswagen-t-roc-dbzr1s,2019
Opel,Essence,Automatique,98500,Astra,15656,https://hollyroad.fr/annonce-opel-astra-nRuemp,2016
Ford,Essence,Automatique,110000,Mustang,33230,https://hollyroad.fr/annonce-ford-mustang-xffnuo,2016
Citroen,Essence,Automatique,36440,C5,30156,https://hollyroad.fr/annonce-citroen-c5-aircross-3AP58n,2019
Honda,Essence,Manuelle,110703,HR-V,17015,https://hollyroad.fr/annonce-honda-hr-v-Pm9vV8,2016
Hyundai,Diesel,Automatique,6000,STARIA,49236,https://hollyroad.fr/annonce-hyundai-staria-FZJe0E,2023
Hyundai,Diesel,Manuelle,188000,i30,7725,https://hollyroad.fr/annonce-hyundai-i30-BIfUUQ,2012
Hyundai,Essence,Manuelle,6000,i30,26736,https://hollyroad.fr/annonce-hyundai-i30-0PmWpG,2023
SEAT,Essence,Manuelle,15000,Leon,21535,https://hollyroad.fr/annonce-seat-leon-gNoqmM,2020
SEAT,Essence,Manuelle,43413,Arona,22195,https://hollyroad.fr/annonce-seat-arona-awNlt6,2021
CUPRA,Essence,Automatique,12877,Formentor,31436,https://hollyroad.fr/annonce-cupra-formentor-9SkfAA,2023
Volkswagen,Essence,Manuelle,21381,T-Roc,23685,https://hollyroad.fr/annonce-volkswagen-t-roc-WQdHEx,2023
Volkswagen,Essence,Manuelle,14201,T-Roc,23685,https://hollyroad.fr/annonce-volkswagen-t-roc-SP43MU,2023
Kia,Essence,Automatique,72000,ProCeed,23725,https://hollyroad.fr/annonce-kia-proceed--proceed-93uJsw,2019
Volkswagen,Essence,Manuelle,99900,Caddy,10115,https://hollyroad.fr/annonce-volkswagen-caddy-pUHAsI,2008
CUPRA,Électrique,Automatique,24450,Born,34296,https://hollyroad.fr/annonce-cupra-born-W8U0Nw,2022
Fiat,Électrique,Automatique,52890,500e,23971,https://hollyroad.fr/annonce-fiat-500e-1s6CJ3,2021
Mercedes-Benz,Essence,Automatique,59426,SLC,39700,https://hollyroad.fr/annonce-mercedes-benz-slc-300-6uir8x,2018
Volkswagen,Essence,Manuelle,16900,Golf,28695,https://hollyroad.fr/annonce-volkswagen-golf-7iEBkN,2023
Volkswagen,Électrique,Automatique,32500,e-Crafter,26821,https://hollyroad.fr/annonce-volkswagen--Gb2rPt,2021
