brand,engine_type,gearbox,mileage,model,price,url,year
Citroën,Diesel,Manuelle,128279,C3,10395,https://www.spoticar.fr/voitures-occasion/citroen-c3-bluehdi-100-ss-bvm5-feel-seine-maritime-le-grand-quevilly-1202944203,2019
Peugeot,Essence,Manuelle,71785,208,9990,https://www.spoticar.fr/voitures-occasion/peugeot-208-12-puretech-82ch-bvm5-style-nord-lomme-1202942147,2017
Peugeot,Essence,Automatique,14599,308,25989,https://www.spoticar.fr/voitures-occasion/peugeot-308-puretech-130ch-ss-eat8-allure-pack-maine-et-loire-angers-1202938145,2023
Peugeot,Essence,Manuelle,3000,208,14870,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-75-ss-bvm5-yvelines-montigny-le-bretonneux-1202943950,2023
Citroën,Essence,Manuelle,15656,C3,15270,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-loire-atlantique-reze-1202934983,2021
Citroën,Essence,Manuelle,31031,C3,15290,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-pack-loire-atlantique-orvault-1202943379,2021
Citroën,Diesel,Manuelle,111676,C3,12950,https://www.spoticar.fr/voitures-occasion/citroen-c3-aircross-bluehdi-100-bvm5-feel-loire-atlantique-reze-1202941976,2018
Citroën,Essence,Manuelle,16035,C3,14990,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-loire-atlantique-reze-1202934981,2021
Peugeot,Essence,Automatique,29613,5008,28770,https://www.spoticar.fr/voitures-occasion/peugeot-5008-puretech-130ch-ss-eat8-allure-pack-hauts-de-seine-nanterre-1202934962,2021
Peugeot,Essence,Automatique,14188,208,19690,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-allure-business-nord-lomme-1202942206,2021
Citroën,Essence,Manuelle,40024,C3,14670,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-loire-atlantique-orvault-1202934959,2021
Citroën,Essence,Manuelle,24881,C3,14570,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-loire-atlantique-orvault-1202934951,2020
Peugeot,Essence,Manuelle,43413,208,11790,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-82ch-ss-bvm5-signature-loire-atlantique-reze-1202933493,2019
Peugeot,Essence,Manuelle,17075,3008,28700,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956979,2023
DS,Diesel,Automatique,2504,4,37700,https://www.spoticar.fr/voitures-occasion/ds-ds-4-bluehdi-130-eat8-rivoli-yvelines-france-1202956971,2023
Peugeot,Diesel,Automatique,2386,5008,38500,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956972,2023
Peugeot,Essence,Manuelle,98465,2008,11990,https://www.spoticar.fr/voitures-occasion/peugeot-2008-12-puretech-110ch-ss-bvm5-allure-loire-atlantique-reze-1202941989,2016
Peugeot,Essence,Manuelle,3003,308,27950,https://www.spoticar.fr/voitures-occasion/peugeot-308-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956967,2023
Citroën,Essence,Manuelle,24546,C3,14790,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-loire-atlantique-reze-1202934979,2021
